temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
-50,40.9,-43.76,1416.3,1372.6,-0.1916,6.3470,6.1554
-45,54.5,-21.94,1402.8,1380.8,-0.0950,6.1484,6.0534
-40,71.7,0,1388.8,1388.8,0,5.9567,5.9567
-35,93.2,22.06,1374.5,1396.5,0.0935,5.7715,5.8650
-30,119.5,44.26,1359.8,1404.0,0.1856,5.5922,5.7778
-25,151.6,66.58,1344.6,1411.2,0.2763,5.4185,5.6947
-20,190.2,89.05,1329.0,1418.0,0.3657,5.2498,5.6155
-15,236.3,111.66,1312.9,1424.6,0.4538,5.0859,5.5397
-10,290.9,134.41,1296.4,1430.8,0.5408,4.9265,5.4673
-5,354.9,157.31,1279.4,1436.7,0.6266,4.7711,5.3977
0,429.6,180.36,1261.8,1442.2,0.7114,4.6195,5.3309
5,515.9,203.58,1243.7,1447.3,0.7951,4.4715,5.2666
10,615.2,226.97,1225.1,1452.0,0.8779,4.3266,5.2045
15,728.6,250.54,1205.8,1456.3,0.9598,4.1846,5.1444
20,857.5,274.30,1185.9,1460.2,1.0408,4.0452,5.0860
25,1003.2,298.25,1165.2,1463.5,1.1210,3.9083,5.0293
30,1167.0,322.42,1143.9,1466.3,1.2005,3.7734,4.9738
35,1350.4,346.80,1121.8,1468.6,1.2792,3.6403,4.9196
40,1554.9,371.43,1098.8,1470.2,1.3574,3.5088,4.8662
45,1782.0,396.31,1074.9,1471.2,1.4350,3.3786,4.8136
50,2033.1,421.48,1050.0,1471.5,1.5121,3.2493,4.7614
55,2310.1,446.96,1024.1,1471.0,1.5888,3.1208,4.7095
60,2614.4,472.79,997.0,1469.7,1.6652,2.9925,4.6577
65,2947.8,499.01,968.5,1467.5,1.7415,2.8642,4.6057
70,3312.0,525.69,938.7,1464.4,1.8178,2.7354,4.5533
75,3709.0,552.88,907.2,1460.1,1.8943,2.6058,4.5001
80,4140.5,580.69,873.9,1454.6,1.9712,2.4746,4.4458
85,4608.6,609.21,838.6,1447.8,2.0488,2.3413,4.3901
90,5115.3,638.59,800.8,1439.4,2.1273,2.2051,4.3325
95,5662.9,668.99,760.2,1429.2,2.2073,2.0650,4.2723
100,6253.7,700.64,716.2,1416.9,2.2893,1.9195,4.2088
105,6890.4,733.87,668.1,1402.0,2.3740,1.7667,4.1407
110,7575.7,769.15,614.6,1383.7,2.4625,1.6040,4.0665
115,8313.3,807.21,553.8,1361.0,2.5566,1.4267,3.9833
120,9107.2,849.36,482.3,1331.7,2.6593,1.2268,3.8861
125,9963.5,898.42,393.0,1291.4,2.7775,0.9870,3.7645
130,10892,963.29,263.7,1227.0,2.9326,0.6540,3.5866
132.3,11333,1085.85,0,1085.9,3.2316,0,3.2316
