temperature,pressure,sat_liquid_spec_vol,evaporation_spec_vol,sat_vapor_spec_vol,sat_liquid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng
-50,40.9,0.001424,2.62557,2.62700,-43.82,1309.1,1265.2
-45,54.5,0.001437,2.00489,2.00632,-22.01,1293.5,1271.4
-40,71.7,0.001450,1.55111,1.55256,-0.10,1277.6,1277.4
-35,93.2,0.001463,1.21466,1.21613,21.93,1261.3,1283.3
-30,119.5,0.001476,0.96192,0.96339,44.08,1244.8,1288.9
-25,151.6,0.001490,0.76970,0.77119,66.36,1227.9,1294.3
-20,190.2,0.001504,0.62184,0.62334,88.76,1210.7,1299.5
-15,236.3,0.001519,0.50686,0.50838,111.30,1193.2,1304.5
-10,290.9,0.001534,0.41655,0.41808,133.96,1175.2,1309.2
-5,354.9,0.001550,0.34493,0.34648,156.76,1157.0,1313.7
0,429.6,0.001566,0.28763,0.28920,179.69,1138.3,1318.0
5,515.9,0.001583,0.24140,0.24299,202.77,1119.2,1322.0
10,615.2,0.001600,0.20381,0.20541,225.99,1099.7,1325.7
15,728.6,0.001619,0.17300,0.17462,249.36,1079.7,1329.1
20,857.5,0.001638,0.14758,0.14922,272.89,1059.3,1332.2
25,1003.2,0.001658,0.12647,0.12813,296.59,1038.4,1335.0
30,1167.0,0.001680,0.10881,0.11049,320.46,1016.9,1337.4
35,1350.4,0.001702,0.09397,0.09567,344.50,994.9,1339.4
40,1554.9,0.001725,0.08141,0.08313,368.74,972.2,1341.0
45,1782.0,0.001750,0.07073,0.07248,393.19,948.9,1342.1
50,2033.1,0.001777,0.06159,0.06337,417.87,924.8,1342.7
55,2310.1,0.001804,0.05375,0.05555,442.79,899.9,1342.7
60,2614.4,0.001834,0.04697,0.04880,467.99,874.2,1342.1
65,2947.8,0.001866,0.04109,0.04296,493.51,847.4,1340.9
70,3312.0,0.001900,0.03597,0.03787,519.39,819.5,1338.9
75,3709.0,0.001937,0.03148,0.03341,545.70,790.4,1336.1
80,4140.5,0.001978,0.02753,0.02951,572.50,759.9,1332.4
85,4608.6,0.002022,0.02404,0.02606,599.90,727.8,1327.7
90,5115.3,0.002071,0.02093,0.02300,627.99,693.7,1321.7
95,5662.9,0.002126,0.01815,0.02028,656.95,657.4,1314.4
100,6253.7,0.002188,0.01565,0.01784,686.96,618.4,1305.3
105,6890.4,0.002261,0.01337,0.01564,718.30,575.9,1294.2
110,7575.7,0.002347,0.01128,0.01363,751.37,529.1,1280.5
115,8313.3,0.002452,0.00933,0.01178,786.82,476.2,1263.1
120,9107.2,0.002589,0.00744,0.01003,825.77,414.5,1240.3
125,9963.5,0.002783,0.00554,0.00833,870.69,337.7,1208.4
130,10891.6,0.003122,0.00337,0.00649,929.29,226.9,1156.2
132.3,11333.2,0.004255,0,0.00426,1037.62,0,1037.6
