temperature,s_pa150,v_pa150,u_pa150,h_pa150,s_pa200,v_pa200,u_pa200,h_pa200
0,0.7787,1294.1,1410.9,5.6983,0.5946,1300.6,1419.6,5.5979
-20,0.7977,1303.3,1422.9,5.7465,0,0,0,0
-10,0.8336,1320.7,1445.7,5.8349,0.6193,1316.7,1440.6,5.6791
0,0.8689,1337.9,1468.3,5.9189,0.6465,1334.5,1463.8,5.7659
10,0.9037,1355.0,1490.6,5.9992,0.6732,1352.1,1486.8,5.8484
20,0.9382,1372.0,1512.8,6.0761,0.6995,1369.5,1509.4,5.9270
30,0.9723,1389.0,1534.9,6.1502,0.7255,1386.8,1531.9,6.0025
40,1.0062,1406.0,1556.9,6.2217,0.7513,1404.0,1554.3,6.0751
50,1.0398,1423.0,1578.9,6.2910,0.7769,1421.3,1576.6,6.1453
60,1.0734,1440.0,1601.0,6.3583,0.8023,1438.5,1598.9,6.2133
70,1.1068,1457.2,1623.2,6.4238,0.8275,1455.8,1621.3,6.2794
80,1.1401,1474.4,1645.4,6.4877,0.8527,1473.1,1643.7,6.3437
100,1.2065,1509.3,1690.2,6.6112,0.9028,1508.2,1688.8,6.4679
120,1.2726,1544.8,1735.6,6.7297,0.9527,1543.8,1734.4,6.5869
140,1.3386,1580.9,1781.7,6.8439,1.0024,1580.1,1780.6,6.7015
160,1.4044,1617.8,1828.4,6.9544,1.0519,1617.0,1827.4,6.8123
180,1.4701,1655.4,1875.9,7.0615,1.1014,1654.7,1875.0,6.9196
200,1.5357,1693.7,1924.1,7.1656,1.1507,1693.2,1923.3,7.0239
220,1.6013,1732.9,1973.1,7.2670,1.2000,1732.4,1972.4,7.1255
