temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
-50.0,682.3,-19.96,339.73,319.77,-0.0863,1.5224,1.4362
-48,739.5,-16.00,336.38,320.38,-0.0688,1.4940,1.4252
-46,800.2,-12.02,332.98,320.96,-0.0515,1.4659,1.4144
-44,864.4,-8.03,329.52,321.49,-0.0342,1.4380,1.4038
-42,932.5,-4.02,326.00,321.97,-0.0171,1.4103,1.3933
-40,1004.5,0,322.42,322.42,0,1.3829,1.3829
-38,1080.5,4.04,318.78,322.82,0.0170,1.3556,1.3726
-36,1160.7,8.11,315.06,323.17,0.0339,1.3285,1.3624
-34,1245.2,12.19,311.28,323.47,0.0507,1.3016,1.3523
-32,1334.2,16.30,307.42,323.72,0.0675,1.2748,1.3423
-30,1427.8,20.43,303.48,323.92,0.0842,1.2481,1.3323
-28,1526.1,24.60,299.46,324.06,0.1009,1.2215,1.3224
-26,1629.3,28.78,295.35,324.14,0.1175,1.1950,1.3125
-24,1737.5,33.00,291.15,324.15,0.1341,1.1686,1.3026
-22,1850.9,37.26,286.85,324.11,0.1506,1.1421,1.2928
-20,1969.6,41.55,282.44,323.99,0.1672,1.1157,1.2829
-18,2093.8,45.87,277.93,323.80,0.1837,1.0893,1.2730
-16,2223.7,50.24,273.30,323.53,0.2003,1.0628,1.2631
-14,2359.3,54.65,268.54,323.19,0.2169,1.0362,1.2531
-12,2501.0,59.11,263.65,322.76,0.2334,1.0096,1.2430
-10,2648.7,63.62,258.61,322.23,0.2501,0.9828,1.2328
-8,2802.7,68.18,253.43,321.61,0.2668,0.9558,1.2226
-6,2963.2,72.81,248.08,320.89,0.2835,0.9286,1.2121
-4,3130.3,77.50,242.55,320.05,0.3003,0.9012,1.2015
-2,3304.2,82.26,236.83,319.09,0.3173,0.8734,1.1907
0,3485.1,87.10,230.89,317.99,0.3344,0.8453,1.1797
2,3673.3,92.02,224.73,316.75,0.3516,0.8167,1.1683
4,3868.8,97.05,218.30,315.35,0.3690,0.7877,1.1567
6,4072.0,102.18,211.59,313.77,0.3866,0.7580,1.1446
8,4283.1,107.43,204.56,311.99,0.4045,0.7276,1.1321
10,4502.2,112.83,197.15,309.98,0.4228,0.6963,1.1190
12,4729.7,118.38,189.33,307.72,0.4414,0.6640,1.1053
14,4965.8,124.13,181.02,305.15,0.4605,0.6304,1.0909
16,5210.8,130.11,172.12,302.22,0.4802,0.5952,1.0754
18,5465.1,136.36,162.50,298.86,0.5006,0.5581,1.0588
20,5729.1,142.97,152.00,294.96,0.5221,0.5185,1.0406
22,6003.1,150.02,140.34,290.36,0.5449,0.4755,1.0203
24,6287.7,157.71,127.09,284.80,0.5695,0.4277,0.9972
26,6583.7,166.36,111.45,277.80,0.5971,0.3726,0.9697
28,6891.8,176.72,91.58,268.30,0.6301,0.3041,0.9342
30,7213.7,191.65,60.58,252.23,0.6778,0.1998,0.8776
31.0,7377.3,219.34,0.0,219.34,0.7680,0.0,0.7680
