temperature,pressure,sat_liquid_spec_vol,evaporation_spec_vol,sat_vapor_spec_vol,sat_liquid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng
-50.0,682.3,0.000866,0.05492,0.05579,-20.55,302.26,281.71
-48,739.5,0.000872,0.05075,0.05162,-16.64,298.86,282.21
-46,800.2,0.000878,0.04694,0.04782,-12.72,295.42,282.69
-44,864.4,0.000883,0.04347,0.04435,-8.80,291.94,283.15
-42,932.5,0.000889,0.04029,0.04118,-4.85,288.42,283.57
-40,1004.5,0.000896,0.03739,0.03828,-0.90,284.86,283.96
-38,1080.5,0.000902,0.03472,0.03562,3.07,281.26,284.33
-36,1160.7,0.000909,0.03227,0.03318,7.05,277.60,284.66
-34,1245.2,0.000915,0.03002,0.03093,11.05,273.90,284.95
-32,1334.2,0.000922,0.02794,0.02886,15.07,270.14,285.21
-30,1427.8,0.000930,0.02603,0.02696,19.11,266.32,285.43
-28,1526.1,0.000937,0.02425,0.02519,23.17,262.45,285.61
-26,1629.3,0.000945,0.02261,0.02356,27.25,258.51,285.75
-24,1737.5,0.000953,0.02110,0.02205,31.35,254.50,285.85
-22,1850.9,0.000961,0.01968,0.02065,35.48,250.41,285.89
-20,1969.6,0.000969,0.01837,0.01934,39.64,246.25,285.89
-18,2093.8,0.000978,0.01715,0.01813,43.82,242.01,285.84
-16,2223.7,0.000987,0.01601,0.01700,48.04,237.68,285.73
-14,2359.3,0.000997,0.01495,0.01595,52.30,233.26,285.56
-12,2501.0,0.001007,0.01396,0.01497,56.59,228.73,285.32
-10,2648.7,0.001017,0.01303,0.01405,60.92,224.10,285.02
-8,2802.7,0.001028,0.01216,0.01319,65.30,219.35,284.65
-6,2963.2,0.001040,0.01134,0.01238,69.73,214.47,284.20
-4,3130.3,0.001052,0.01057,0.01162,74.20,209.46,283.66
-2,3304.2,0.001065,0.00985,0.01091,78.74,204.29,283.03
0,3485.1,0.001078,0.00916,0.01024,83.34,198.96,282.30
2,3673.3,0.001093,0.00852,0.00961,88.01,193.44,281.46
4,3868.8,0.001108,0.00790,0.00901,92.76,187.73,280.49
6,4072.0,0.001124,0.00732,0.00845,97.60,181.78,279.38
8,4283.1,0.001142,0.00677,0.00791,102.54,175.57,278.11
10,4502.2,0.001161,0.00624,0.00740,107.60,169.07,276.67
12,4729.7,0.001182,0.00573,0.00691,112.79,162.23,275.02
14,4965.8,0.001205,0.00524,0.00645,118.14,154.99,273.13
16,5210.8,0.001231,0.00477,0.00600,123.69,147.26,270.95
18,5465.1,0.001260,0.00431,0.00557,129.48,138.95,268.43
20,5729.1,0.001293,0.00386,0.00515,135.56,129.90,265.46
22,6003.1,0.001332,0.00341,0.00474,142.03,119.89,261.92
24,6287.7,0.001379,0.00295,0.00433,149.04,108.55,257.59
26,6583.7,0.001440,0.00247,0.00391,156.88,95.20,252.07
28,6891.8,0.001526,0.00193,0.00346,166.20,78.26,244.46
30,7213.7,0.001685,0.00121,0.00290,179.49,51.83,231.32
31.0,7377.3,0.002139,0.0,0.00214,203.56,0.0,203.56
