temperature,v_pa30000,u_pa30000,h_pa30000,s_pa30000,v_pa50000,u_pa50000,h_pa50000,s_pa50000
0,0.000986,0.25,29.82,0.0001,0.000977,0.20,49.03,-0.0014
20,0.000989,82.16,111.82,0.2898,0.000980,80.98,130.00,0.2847
40,0.000995,164.01,193.87,0.5606,0.000987,161.84,211.20,0.5526
60,0.001004,246.03,276.16,0.8153,0.000996,242.96,292.77,0.8051
80,0.001016,328.28,358.75,1.0561,0.001007,324.32,374.68,1.0439
100,0.001029,410.76,441.63,1.2844,0.001020,405.86,456.87,1.2703
120,0.001044,493.58,524.91,1.5017,0.001035,487.63,539.37,1.4857
140,0.001062,576.86,608.73,1.7097,0.001052,569.76,622.33,1.6915
160,0.001082,660.81,693.27,1.9095,0.001070,652.39,705.91,1.8890
180,0.001105,745.57,778.71,2.1024,0.001091,735.68,790.24,2.0793
200,0.001130,831.34,865.24,2.2892,0.001115,819.73,875.46,2.2634
220,0.001159,918.32,953.09,2.4710,0.001141,904.67,961.71,2.4419
240,0.001192,1006.84,1042.60,2.6489,0.001170,990.69,1049.20,2.6158
260,0.001230,1097.38,1134.29,2.8242,0.001203,1078.06,1138.23,2.7860
280,0.001275,1190.69,1228.96,2.9985,0.001242,1167.19,1229.26,2.9536
300,0.001330,1287.89,1327.80,3.1740,0.001286,1258.66,1322.95,3.1200
320,0.001400,1390.64,1432.63,3.3538,0.001339,1353.23,1420.17,3.2867
340,0.001492,1501.71,1546.47,3.5425,0.001403,1451.91,1522.07,3.4556
360,0.001627,1626.57,1675.36,3.7492,0.001484,1555.97,1630.16,3.6290
380,0.001869,1781.35,1837.43,4.0010,0.001588,1667.13,1746.54,3.8100
