temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
90.7,11.7,-358.07,543.12,185.05,4.2264,5.9891,10.2155
95,19.8,-343.75,537.18,193.43,4.3805,5.6545,10.0350
100,34.4,-326.83,529.77,202.94,4.5538,5.2977,9.8514
105,56.4,-309.66,521.82,212.16,4.7208,4.9697,9.6905
110,88.2,-292.29,513.29,221.00,4.8817,4.6663,9.5480
111.7,101.3,-286.50,510.33,223.83,4.9336,4.5706,9.5042
115,132.3,-274.74,504.12,229.38,5.0368,4.3836,9.4205
120,191.6,-256.98,494.20,237.23,5.1867,4.1184,9.3051
125,269.0,-238.99,483.44,244.45,5.3321,3.8675,9.1996
130,367.6,-220.72,471.72,251.00,5.4734,3.6286,9.1020
135,490.7,-202.13,458.90,256.77,5.6113,3.3993,9.0106
140,641.6,-183.16,444.85,261.69,5.7464,3.1775,8.9239
145,823.7,-163.73,429.38,265.66,5.8794,2.9613,8.8406
150,1040.5,-143.74,412.29,268.54,6.0108,2.7486,8.7594
155,1295.6,-123.09,393.27,270.18,6.1415,2.5372,8.6787
160,1592.8,-101.61,371.96,270.35,6.2724,2.3248,8.5971
165,1935.9,-79.08,347.82,268.74,6.4046,2.1080,8.5126
170,2329.3,-55.17,320.02,264.85,6.5399,1.8824,8.4224
175,2777.6,-29.33,287.20,257.87,6.6811,1.6411,8.3223
180,3286.4,-0.53,246.77,246.25,6.8333,1.3710,8.2043
185,3863.2,33.83,192.16,226.00,7.0095,1.0387,8.0483
190,4520.5,91.56,80.58,172.14,7.3015,0.4241,7.7256
190.6,4599.2,129.74,0,129.74,7.4999,0,7.4999
