temperature,s_pa100,v_pa100,u_pa100,h_pa100,s_pa200,v_pa200,u_pa200,h_pa200
0,0.55665,167.90,223.56,9.5084,0.29422,179.30,238.14,9.2918
125,0.63126,190.21,253.33,9.7606,0.30695,186.80,248.19,9.3736
150,0.76586,230.18,306.77,10.1504,0.37700,227.91,303.31,9.7759
175,0.89840,269.72,359.56,10.4759,0.44486,268.05,357.02,10.1071
200,1.02994,309.20,412.19,10.7570,0.51165,307.88,410.21,10.3912
225,1.16092,348.90,464.99,11.0058,0.57786,347.81,463.38,10.6417
250,1.29154,389.12,518.27,11.2303,0.64370,388.19,516.93,10.8674
275,1.42193,430.17,572.36,11.4365,0.70931,429.36,571.22,11.0743
300,1.55215,472.36,627.58,11.6286,0.77475,471.65,626.60,11.2670
325,1.68225,516.00,684.23,11.8100,0.84008,515.37,683.38,11.4488
350,1.81226,561.34,742.57,11.9829,0.90530,560.77,741.83,11.6220
375,1.94220,608.58,802.80,12.1491,0.97046,608.07,802.16,11.7885
400,2.07209,657.89,865.10,12.3099,1.03557,657.41,864.53,11.9495
425,2.20193,709.36,929.55,12.4661,1.10062,708.92,929.05,12.1059
