temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
63.1,12.5,-150.91,215.39,64.48,2.4234,3.4109,5.8343
65,17.4,-147.17,213.38,66.21,2.4816,3.2828,5.7645
70,38.6,-137.09,207.79,70.70,2.6307,2.9684,5.5991
75,76.1,-126.95,201.82,74.87,2.7700,2.6909,5.4609
77.3,101.3,-122.15,198.84,76.69,2.8326,2.5707,5.4033
80,137.0,-116.69,195.32,78.63,2.9014,2.4415,5.3429
85,229.1,-106.25,188.15,81.90,3.0266,2.2135,5.2401
90,360.8,-95.58,180.13,84.55,3.1466,2.0015,5.1480
95,541.1,-84.59,171.07,86.47,3.2627,1.8007,5.0634
100,779.2,-73.20,160.68,87.48,3.3761,1.6068,4.9829
105,1084.6,-61.24,148.59,87.35,3.4883,1.4151,4.9034
110,1467.6,-48.45,134.15,85.71,3.6017,1.2196,4.8213
115,1939.3,-34.31,116.19,81.88,3.7204,1.0104,4.7307
120,2513.0,-17.61,91.91,74.30,3.8536,0.7659,4.6195
125,3208.0,6.73,48.88,55.60,4.0399,0.3910,4.4309
126.2,3397.8,29.79,0,29.79,4.2193,0,4.2193
