temperature,s_pa800,v_pa800,u_pa800,h_pa800,s_pa1000,v_pa1000,u_pa1000,h_pa1000
0,0.03038,63.21,87.52,4.9768,0.02416,63.35,87.51,4.9237
120,0.04017,81.88,114.02,5.2191,0.03117,79.91,111.08,5.1357
140,0.04886,98.41,137.50,5.4002,0.03845,97.02,135.47,5.3239
160,0.05710,114.28,159.95,5.5501,0.04522,113.20,158.42,5.4772
180,0.06509,129.82,181.89,5.6793,0.05173,128.94,180.67,5.6082
200,0.07293,145.17,203.51,5.7933,0.05809,144.43,202.52,5.7234
220,0.08067,160.40,224.94,5.8954,0.06436,159.76,224.11,5.8263
240,0.08835,175.54,246.23,5.9880,0.07055,174.98,245.53,5.9194
260,0.09599,190.63,267.42,6.0728,0.07670,190.13,266.83,6.0047
280,0.10358,205.68,288.54,6.1511,0.08281,205.23,288.04,6.0833
300,0.11115,220.70,309.62,6.2238,0.08889,220.29,309.18,6.1562
350,0.12998,258.19,362.17,6.3858,0.10401,257.86,361.87,6.3187
400,0.14873,295.69,414.68,6.5260,0.11905,295.42,414.47,6.4591
500,0.18609,371.25,520.12,6.7613,0.14899,371.04,520.04,6.6947
600,0.22335,448.24,626.93,6.9560,0.17883,448.09,626.92,6.8895
700,0.26056,527.31,735.76,7.1237,0.20862,527.19,735.81,7.0573
800,0.29773,608.73,846.91,7.2721,0.23837,608.63,847.00,7.2057
900,0.33488,692.52,960.42,7.4058,0.26810,692.44,960.54,7.3394
1000,0.37202,778.55,1076.16,7.5277,0.29782,778.49,1076.30,7.4614
