temperature,pressure,sat_liquid_spec_vol,evaporation_spec_vol,sat_vapor_spec_vol,sat_liquid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng
-70,8.3,0.000675,1.97207,1.97274,119.46,218.74,338.20
-65,11.7,0.000679,1.42915,1.42983,123.18,217.76,340.94
-60,16.3,0.000684,1.05199,1.05268,127.52,216.19,343.71
-55,22.2,0.000689,0.78609,0.78678,132.36,214.14,346.50
-50,29.9,0.000695,0.59587,0.59657,137.60,211.71,349.31
-45,39.6,0.000701,0.45783,0.45853,143.15,208.99,352.15
-40,51.8,0.000708,0.35625,0.35696,148.95,206.05,355.00
-35,66.8,0.000715,0.28051,0.28122,154.93,202.93,357.86
-30,85.1,0.000722,0.22330,0.22402,161.06,199.67,360.73
-26.3,101.3,0.000728,0.18947,0.19020,165.73,197.16,362.89
-25,107.2,0.000730,0.17957,0.18030,167.30,196.31,363.61
-20,133.7,0.000738,0.14576,0.14649,173.65,192.85,366.50
-15,165.0,0.000746,0.11932,0.12007,180.07,189.32,369.39
-10,201.7,0.000755,0.09845,0.09921,186.57,185.70,372.27
-5,244.5,0.000764,0.08181,0.08257,193.14,182.01,375.15
0,294.0,0.000773,0.06842,0.06919,199.77,178.24,378.01
5,350.9,0.000783,0.05755,0.05833,206.48,174.38,380.85
10,415.8,0.000794,0.04866,0.04945,213.25,170.42,383.67
15,489.5,0.000805,0.04133,0.04213,220.10,166.35,386.45
20,572.8,0.000817,0.03524,0.03606,227.03,162.16,389.19
25,666.3,0.000829,0.03015,0.03098,234.04,157.83,391.87
30,771.0,0.000843,0.02587,0.02671,241.14,153.34,394.48
35,887.6,0.000857,0.02224,0.02310,248.34,148.68,397.02
40,1017.0,0.000873,0.01915,0.02002,255.65,143.81,399.46
45,1160.2,0.000890,0.01650,0.01739,263.08,138.71,401.79
50,1318.1,0.000908,0.01422,0.01512,270.63,133.35,403.98
55,1491.6,0.000928,0.01224,0.01316,278.33,127.68,406.01
60,1681.8,0.000951,0.01051,0.01146,286.19,121.66,407.85
65,1889.9,0.000976,0.00899,0.00997,294.24,115.22,409.46
70,2117.0,0.001005,0.00765,0.00866,302.51,108.27,410.78
75,2364.4,0.001038,0.00645,0.00749,311.06,100.68,411.74
80,2633.6,0.001078,0.00537,0.00645,319.96,92.26,412.22
85,2926.2,0.001128,0.00437,0.00550,329.35,82.67,412.01
90,3244.5,0.001195,0.00341,0.00461,339.51,71.24,410.75
95,3591.5,0.001297,0.00243,0.00373,351.17,56.25,407.42
100,3973.2,0.001557,0.00108,0.00264,368.55,28.19,396.74
101.2,4064.0,0.001969,0,0.00197,382.97,0,382.97
