temperature,s_pa500,v_pa500,u_pa500,h_pa500,s_pa600,v_pa600,u_pa600,h_pa600
0,0.05208,248.29,274.33,1.0647,0.04351,250.15,276.26,1.0540
0,0.05651,259.59,287.84,1.1155,0.04595,257.54,285.12,1.0869
20,0.06231,275.02,306.18,1.1803,0.05106,273.56,304.20,1.1543
40,0.06775,290.32,324.20,1.2398,0.05576,289.19,322.64,1.2152
60,0.07297,305.84,342.32,1.2959,0.06023,304.91,341.05,1.2722
80,0.07804,321.72,360.74,1.3496,0.06455,320.94,359.67,1.3265
100,0.08302,338.05,379.56,1.4014,0.06877,337.38,378.65,1.3787
120,0.08793,354.87,398.84,1.4517,0.07292,354.29,398.04,1.4294
140,0.09279,372.20,418.60,1.5007,0.07701,371.68,417.89,1.4786
160,0.09760,390.05,438.85,1.5486,0.08106,389.58,438.22,1.5266
180,0.10238,408.40,459.59,1.5954,0.08508,407.98,459.03,1.5736
200,0.10714,427.26,480.83,1.6413,0.08907,426.88,480.32,1.6196
220,0.11187,446.61,502.55,1.6862,0.09304,446.26,502.08,1.6646
240,0.11659,466.44,524.73,1.7303,0.09700,466.11,524.31,1.7088
260,0.12129,486.73,547.37,1.7736,0.10093,486.42,546.98,1.7521
280,0.12598,507.46,570.45,1.8161,0.10486,507.18,570.09,1.7947
300,0.13066,528.62,593.95,1.8578,0.10877,528.36,593.62,1.8365
