temperature,pressure,sat_liquid_enthalpy,evaporation_enthalpy,sat_vapor_enthalpy,sat_liquid_entropy,evaporation_entropy,sat_vapor_entropy
0.01,0.6113,0.00,2501.35,2501.35,0,9.1562,9.1562
5,0.8721,20.98,2489.57,2510.54,0.0761,8.9496,9.0257
10,1.2276,41.99,2477.75,2519.74,0.1510,8.7498,8.9007
15,1.705,62.98,2465.93,2528.91,0.2245,8.5569,8.7813
20,2.339,83.94,2454.12,2538.06,0.2966,8.3706,8.6671
25,3.169,104.87,2442.30,2547.17,0.3673,8.1905,8.5579
30,4.246,125.77,2430.48,2556.25,0.4369,8.0164,8.4533
35,5.628,146.66,2418.62,2565.28,0.5052,7.8478,8.3530
40,7.384,167.54,2406.72,2574.26,0.5724,7.6845,8.2569
45,9.593,188.42,2394.77,2583.19,0.6386,7.5261,8.1647
50,12.350,209.31,2382.75,2592.06,0.7037,7.3725,8.0762
55,15.758,230.20,2370.66,2600.86,0.7679,7.2234,7.9912
60,19.941,251.11,2358.48,2609.59,0.8311,7.0784,7.9095
65,25.03,272.03,2346.21,2618.24,0.8934,6.9375,7.8309
70,31.19,292.96,2333.85,2626.80,0.9548,6.8004,7.7552
75,38.58,313.91,2321.37,2635.28,1.0154,6.6670,7.6824
80,47.39,334.88,2308.77,2643.66,1.0752,6.5369,7.6121
85,57.83,355.88,2296.05,2651.93,1.1342,6.4102,7.5444
90,70.14,376.90,2283.19,2660.09,1.1924,6.2866,7.4790
95,84.55,397.94,2270.19,2668.13,1.2500,6.1659,7.4158
100,101.3,419.02,2257.03,2676.05,1.3068,6.0480,7.3548
105,120.8,440.13,2243.70,2683.83,1.3629,5.9328,7.2958
110,143.3,461.27,2230.20,2691.47,1.4184,5.8202,7.2386
115,169.1,482.46,2216.50,2698.96,1.4733,5.7100,7.1832
120,198.5,503.69,2202.61,2706.30,1.5275,5.6020,7.1295
125,232.1,524.96,2188.50,2713.46,1.5812,5.4962,7.0774
130,270.1,546.29,2174.16,2720.46,1.6343,5.3925,7.0269
135,313.0,567.67,2159.59,2727.26,1.6869,5.2907,6.9777
140,361.3,589.11,2144.75,2733.87,1.7390,5.1908,6.9298
145,415.4,610.61,2129.65,2740.26,1.7906,5.0926,6.8832
150,475.9,632.18,2114.26,2746.44,1.8417,4.9960,6.8378
155,543.1,653.82,2098.56,2752.39,1.8924,4.9010,6.7934
160,617.8,675.53,2082.55,2758.09,1.9426,4.8075,6.7501
165,700.5,697.32,2066.20,2763.53,1.9924,4.7153,6.7078
170,791.7,719.20,2049.50,2768.70,2.0418,4.6244,6.6663
175,892.0,741.16,2032.42,2773.58,2.0909,4.5347,6.6256
180,1002.2,763.21,2014.96,2778.16,2.1395,4.4461,6.5857
185,1122.7,785.36,1997.07,2782.43,2.1878,4.3586,6.5464
190,1254.4,807.61,1978.76,2786.37,2.2358,4.2720,6.507
195,1397.8,829.96,1959.99,2789.96,2.2835,4.1863,6.4697
200,1553.8,852.43,1940.75,2793.18,2.3308,4.1014,6.4322
205,1723.0,875.03,1921.00,2796.03,2.3779,4.0172,6.3951
210,1906.3,897.75,1900.73,2798.48,2.4247,3.9337,6.3584
215,2104.2,920.61,1879.91,2800.51,2.4713,3.8507,6.3221
220,2317.8,943.61,1858.51,2802.12,2.5177,3.7683,6.2860
225,2547.7,966.77,1836.50,2803.27,2.5639,3.6863,6.2502
230,2794.9,990.10,1813.85,2803.95,2.6099,3.6047,6.2146
235,3060.1,1013.61,1790.53,2804.13,2.6557,3.5233,6.1791
240,3344.2,1037.31,1766.50,2803.81,2.7015,3.4422,6.1436
245,3648.2,1061.21,1741.73,2802.95,2.7471,3.3612,6.1083
250,3973.0,1085.34,1716.18,2801.52,2.7927,3.2802,6.0729
255,4319.5,1109.72,1689.80,2799.51,2.8382,3.1992,6.0374
260,4688.6,1134.35,1662.54,2796.89,2.8837,3.1181,6.0018
265,5081.3,1159.27,1634.34,2793.61,2.9293,3.0368,5.9661
270,5498.7,1184.49,1605.16,2789.65,2.9750,2.9551,5.9301
275,5941.8,1210.05,1574.92,2784.97,3.0208,2.8730,5.8937
280,6411.7,1235.97,1543.55,2779.53,3.0667,2.7903,5.8570
285,6909.4,1262.29,1510.97,2773.27,3.1129,2.7069,5.8198
290,7436.0,1289.04,1477.08,2766.13,3.1593,2.6227,5.7821
295,7992.8,1316.27,1441.78,2758.05,3.2061,2.5375,5.7436
300,8581.0,1344.01,1404.93,2748.94,3.2533,2.4511,5.7044
305,9201.8,1372.33,1366.38,2738.72,3.3009,2.3633,5.6642
310,9856.6,1401.29,1325.97,2727.27,3.3492,2.2737,5.6229
315,10547,1430.97,1283.48,2714.44,3.3981,2.1821,5.5803
320,11274,1461.45,1238.64,2700.08,3.4479,2.0882,5.5361
325,12040,1492.84,1191.13,2683.97,3.4987,1.9913,5.4900
330,12845,1525.29,1140.56,2665.85,3.5506,1.8909,5.4416
335,13694,1558.98,1086.37,2645.35,3.6040,1.7863,5.3903
340,14586,1594.15,1027.86,2622.01,3.6593,1.6763,5.3356
345,15525,1631.17,964.02,2595.19,3.7169,1.5594,5.2763
350,16514,1670.54,893.38,2563.92,3.7776,1.4336,5.2111
355,17554,1713.13,813.59,2526.72,3.8427,1.2951,5.1378
360,18651,1760.48,720.52,2481.00,3.9146,1.1379,5.0525
365,19807,1815.96,605.44,2421.40,3.9983,0.9487,4.9470
370,21028,1890.37,441.75,2332.12,4.1104,0.6868,4.7972
374.1,22089,2099.26,0,2099.26,4.4297,0,4.4297
