tempature,pressure,sat_liquid_spec_vol,evaporation_spec_vol,sat_vapor_spec_vol,sat_liquid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng
0.6113,0.01,0.001000,206.131,206.132,0,2375.3,2375.3
1,6.98,0.001000,129.20702,129.20802,29.29,2355.69,2384.98
1.5,13.03,0.001001,87.97913,87.98013,54.70,2338.63,2393.32
2,17.50,0.001001,67.00285,67.00385,73.47,2326.02,2399.48
2.5,21.08,0.001002,54.25285,54.25385,88.47,2315.93,2404.40
3,24.08,0.001003,45.66402,45.66502,101.03,2307.48,2408.51
4,28.96,0.001004,34.79915,34.80015,121.44,2293.73,2415.17
5,32.88,0.001005,28.19150,28.19251,137.79,2282.70,2420.49
7.5,40.29,0.001008,19.23674,19.23775,168.76,2261.74,2430.50
10,45.81,0.001010,14.67254,14.67355,191.79,2246.10,2437.89
15,53.97,0.001014,10.02117,10.02218,225.90,2222.83,2448.73
20,60.06,0.001017,7.64835,7.64937,251.35,2205.36,2456.71
25,64.97,0.001020,6.20322,6.20424,271.88,2191.21,2463.08
30,69.10,0.001022,5.22816,5.22918,289.18,2179.22,2468.40
40,75.87,0.001026,3.99243,3.99345,317.51,2159.49,2477.00
50,81.33,0.001030,3.23931,3.24034,340.42,2143.43,2483.85
75,91.77,0.001037,2.21607,2.21711,394.29,2112.39,2496.67
100,99.62,0.001043,1.69296,1.69400,417.33,2088.72,2506.06
125,105.99,0.001048,1.37385,1.37490,444.16,2069.32,2513.48
150,111.37,0.001053,1.15828,1.15933,466.92,2052.72,2519.64
175,116.06,0.001057,1.00257,1.00363,486.78,2038.12,2524.90
200,120.23,0.001061,0.88467,0.88573,504.47,2025.02,2529.49
225,124.00,0.001064,0.79219,0.79325,520.45,2013.10,2533.56
250,127.43,0.001067,0.71765,0.71871,535.08,2002.14,2537.21
275,130.60,0.001070,0.65624,0.65731,548.57,1991.95,2540.53
300,133.55,0.001073,0.60475,0.60582,561.13,1982.43,2543.55
325,136.30,0.001076,0.56093,0.56201,572.88,1973.46,2546.34
350,138.88,0.001079,0.52317,0.52425,583.93,1964.98,2548.92
375,141.32,0.001081,0.49029,0.49137,594.38,1956.93,2551.31
400,143.63,0.001084,0.46138,0.46246,604.29,1949.26,2553.55
450,147.93,0.001088,0.41289,0.41398,622.75,1934.87,2557.62
500,151.86,0.001093,0.37380,0.37489,639.66,1921.57,2561.23
550,155.48,0.001097,0.34159,0.34268,655.30,1909.17,2564.47
600,158.85,0.001101,0.31457,0.31567,669.88,1897.52,2567.40
650,162.01,0.001104,0.29158,0.29268,683.55,1886.51,2570.06
700,164.97,0.001108,0.27176,0.27286,696.43,1876.07,2572.49
750,167.77,0.001111,0.25449,0.25560,708.62,1866.11,2574.73
800,170.43,0.001115,0.23931,0.24043,720.20,1856.58,2576.79
850,172.96,0.001118,0.22586,0.22698,731.25,1847.45,2578.69
900,175.38,0.001121,0.21385,0.21497,741.81,1838.65,2580.46
950,177.69,0.001124,0.20306,0.20419,751.94,1830.17,2582.11
1000,179.91,0.001127,0.19332,0.19444,761.67,1821.97,2583.64
1100,184.09,0.001133,0.17639,0.17753,780.08,1806.32,2586.40
1200,187.99,0.001139,0.16220,0.16333,797.27,1791.55,2588.82
1300,191.64,0.001144,0.15011,0.15125,813.42,1777.53,2590.95
1400,195.07,0.001149,0.13969,0.14084,828.68,1764.15,2592.83
1500,198.32,0.001154,0.13062,0.13177,843.14,1751.3,2594.5
1750,205.76,0.001166,0.11232,0.11349,876.44,1721.39,2597.83
2000,212.42,0.001177,0.09845,0.09963,906.42,1693.84,2600.26
2250,218.45,0.001187,0.08756,0.08875,933.81,1668.18,2601.98
2500,223.99,0.001197,0.07878,0.07998,959.09,1644.04,2603.13
2750,229.12,0.001207,0.07154,0.07275,982.65,1621.16,2603.81
3000,233.90,0.001216,0.06546,0.06668,1004.76,1599.34,2604.10
3250,238.38,0.001226,0.06029,0.06152,1025.62,1578.43,2604.04
3500,242.60,0.001235,0.05583,0.05707,1045.41,1558.29,2603.70
4000,250.40,0.001252,0.04853,0.04978,1082.28,1519.99,2602.27
5000,263.99,0.001286,0.03815,0.03944,1147.78,1449.34,2597.12
6000,275.64,0.001319,0.03112,0.03244,1205.41,1384.27,2589.69
7000,285.88,0.001351,0.02602,0.02737,1257.51,1322.97,2580.48
8000,295.06,0.001384,0.02213,0.02352,1305.54,1264.25,2569.79
9000,303.40,0.001418,0.01907,0.02048,1350.47,1207.28,2557.75
10000,311.06,0.001452,0.01657,0.01803,1393.00,1151.40,2544.41
11000,318.15,0.001489,0.01450,0.01599,1433.68,1096.06,2529.74
12000,324.75,0.001527,0.01274,0.01426,1472.92,1040.76,2513.67
13000,330.93,0.001567,0.01121,0.01278,1511.09,984.99,2496.08
14000,336.75,0.001611,0.00987,0.01149,1548.53,928.23,2476.76
15000,342.24,0.001658,0.00868,0.01034,1585.58,869.85,2455.43
16000,347.43,0.001711,0.00760,0.00931,1622.63,809.07,2431.70
17000,352.37,0.001770,0.00659,0.00836,1660.16,744.80,2404.96
18000,357.06,0.001840,0.00565,0.00749,1698.86,675.42,2374.28
19000,361.54,0.001924,0.00473,0.00666,1739.87,598.18,2338.05
20000,365.81,0.002035,0.00380,0.00583,1785.47,507.58,2293.05
21000,369.89,0.002206,0.00275,0.00495,1841.97,388.74,2230.71
22000,373.80,0.002808,0.00072,0.00353,1973.16,108.24,2081.39
22089,374.14,0.003155,0,0.00315,2029.58,0,2029.58
