tempature,pressure,sat_liquid_spec_vol,evaporation_spec_vol,sat_vapor_spec_vol,sat_liquid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng
0.01,0.6113,0.001000,206.131,206.132,0,2375.33,2375.33
5,0.8721,0.001000,147.117,147.118,20.97,2361.27,2382.24
10,1.2276,0.001000,106.376,106.377,41.99,2347.16,2389.15
15,1.705,0.001001,77.924,77.925,62.98,2333.06,2396.04
20,2.339,0.001002,57.7887,57.7897,83.94,2318.98,2402.91
25,3.169,0.001003,43.3583,43.3593,104.86,2304.90,2409.76
30,4.246,0.001004,32.8922,32.8932,125.77,2290.81,2416.58
35,5.628,0.001006,25.2148,25.2158,146.65,2276.71,2423.36
40,7.384,0.001008,19.5219,19.5229,167.53,2262.57,2430.11
45,9.593,0.001010,15.2571,15.2581,188.41,2248.40,2436.81
50,12.350,0.001012,12.0308,12.0318,209.30,2234.17,2443.47
55,15.758,0.001015,9.56734,9.56835,230.19,2219.89,2450.08
60,19.941,0.001017,7.66969,7.67071,251.09,2205.54,2456.63
65,25.03,0.001020,6.19554,6.19656,272.00,2191.12,2463.12
70,31.19,0.001023,5.04114,5.04217,292.93,2176.62,2469.55
75,38.58,0.001026,4.13021,4.13123,313.87,2162.03,2475.91
80,47.39,0.001029,3.40612,3.40715,334.84,2147.36,2482.19
85,57.83,0.001032,2.82654,2.82757,355.82,2132.58,2488.40
90,70.14,0.001036,2.35953,2.36056,376.82,2117.70,2494.52
95,84.55,0.001040,1.98082,1.98186,397.86,2102.70,2500.56
100,101.3,0.001044,1.67185,1.67290,418.91,2087.58,2506.50
105,120.8,0.001047,1.41831,1.41936,440.00,2072.34,2512.34
110,143.3,0.001052,1.20909,1.21014,461.12,2056.96,2518.09
115,169.1,0.001056,1.03552,1.03658,482.28,2041.44,2523.72
120,198.5,0.001060,0.89080,0.89186,503.48,2025.76,2529.24
125,232.1,0.001065,0.76953,0.77059,524.72,2009.91,2534.63
130,270.1,0.001070,0.66744,0.66850,546.00,1993.90,2539.90
135,313.0,0.001075,0.58110,0.58217,567.34,1977.69,2545.03
140,361.3,0.001080,0.50777,0.50885,588.72,1961.30,2550.02
145,415.4,0.001085,0.44524,0.44632,610.16,1944.69,2554.86
150,475.9,0.001090,0.39169,0.39278,631.66,1927.87,2559.54
155,543.1,0.001096,0.34566,0.34676,653.23,1910.82,2564.04
160,617.8,0.001102,0.30596,0.30706,674.85,1893.52,2568.37
165,700.5,0.001108,0.27158,0.27269,696.55,1875.97,2572.51
170,791.7,0.001114,0.24171,0.24283,718.31,1858.14,2576.46
175,892.0,0.001121,0.21568,0.21680,740.16,1840.03,2580.19
180,1002.2,0.001127,0.19292,0.19405,762.08,1821.62,2583.70
185,1122.7,0.001134,0.17295,0.17409,784.08,1802.90,2586.98
190,1254.4,0.001141,0.15539,0.15654,806.17,1783.84,2590.01
195,1397.8,0.001149,0.13990,0.14105,828.36,1764.43,2592.79
200,1553.8,0.001156,0.12620,0.12736,850.64,1744.66,2595.29
205,1723.0,0.001164,0.11405,0.11521,873.02,1724.49,2597.52
210,1906.3,0.001173,0.10324,0.10441,895.51,1703.93,2599.44
215,2104.2,0.001181,0.09361,0.09479,918.12,1682.94,2601.06
220,2317.8,0.001190,0.08500,0.08619,940.85,1661.49,2602.35
225,2547.7,0.001199,0.07729,0.07849,963.72,1639.58,2603.30
230,2794.9,0.001209,0.07037,0.07158,986.72,1617.17,2603.89
235,3060.1,0.001219,0.06415,0.06536,1009.88,1594.24,2604.11
240,3344.2,0.001229,0.05853,0.05976,1033.19,1570.75,2603.95
245,3648.2,0.001240,0.05346,0.05470,1056.69,1546.68,2603.37
250,3973.0,0.001251,0.04887,0.05013,1080.37,1522.00,2602.37
255,4319.5,0.001263,0.04471,0.04598,1104.26,1496.66,2600.93
260,4688.6,0.001276,0.04093,0.04220,1128.37,1470.64,2599.01
265,5081.3,0.001289,0.03748,0.03877,1152.72,1443.87,2596.60
270,5498.7,0.001302,0.03434,0.03564,1177.33,1416.33,2593.66
275,5941.8,0.001317,0.03147,0.03279,1202.23,1387.94,2590.17
280,6411.7,0.001332,0.02884,0.03017,1227.43,1358.66,2586.09
285,6909.4,0.001348,0.02642,0.02777,1252.98,1328.41,2581.38
290,7436.0,0.001366,0.02420,0.02557,1278.89,1297.11,2575.99
295,7992.8,0.001384,0.02216,0.02354,1305.21,1264.67,2569.87
300,8581.0,0.001404,0.02027,0.02167,1331.97,1230.99,2562.96
305,9201.8,0.001425,0.01852,0.01995,1359.22,1195.94,2555.16
310,9856.6,0.001447,0.01690,0.01835,1387.03,1159.37,2546.40
315,10547,0.001472,0.01539,0.01687,1415.44,1121.11,2536.55
320,11274,0.001499,0.01399,0.01549,1444.55,1080.93,2525.48
325,12040,0.001528,0.01267,0.01420,1474.44,1038.57,2513.01
330,12845,0.001561,0.01144,0.01300,1505.24,993.66,2498.91
335,13694,0.001597,0.01027,0.01186,1537.11,945.77,2482.88
340,14586,0.001638,0.00916,0.01080,1570.26,894.26,2464.53
345,15525,0.001685,0.00810,0.00978,1605.01,838.29,2443.30
350,16514,0.001740,0.00707,0.00881,1641.81,776.58,2418.39
355,17554,0.001807,0.00607,0.00787,1681.41,707.11,2388.52
360,18651,0.001892,0.00505,0.00694,1725.19,626.29,2351.47
365,19807,0.002011,0.00398,0.00599,1776.13,526.54,2302.67
370,21028,0.002213,0.00271,0.00493,1843.84,384.69,2228.53
374.1,22089,0.003155,0,0.00315,2029.58,0,2029.58
