temperature,v_pa300,u_pa300,h_pa300,s_pa300,v_pa400,u_pa400,h_pa400,s_pa400
0,0.60582,2543.55,2725.30,6.9918,0.46246,2553.55,2738.53,6.8958
150,0.63388,2570.79,2760.95,7.0778,0.47084,2564.48,2752.82,6.9299
200,0.71629,2650.65,2865.54,7.3115,0.53422,2646.83,2860.51,7.1706
250,0.79636,2728.69,2967.59,7.5165,0.59512,2726.11,2964.16,7.3788
300,0.87529,2806.69,3069.28,7.7022,0.65484,2804.81,3066.75,7.5661
400,1.03151,2965.53,3274.98,8.0329,0.77262,2964.36,3273.41,7.8984
500,1.18669,3129.95,3485.96,8.3250,0.88934,3129.15,3484.89,8.1912
600,1.34136,3300.79,3703.20,8.5892,1.00555,3300.22,3702.44,8.4557
700,1.49573,3478.38,3927.10,8.8319,1.12147,3477.95,3926.53,8.6987
800,1.64994,3662.85,4157.83,9.0575,1.23722,3662.51,4157.40,8.9244
900,1.80406,3854.20,4395.42,9.2691,1.35288,3853.91,4395.06,9.1361
1000,1.95812,4052.27,4639.71,9.4689,1.46847,4052.02,4639.41,9.3360
1100,2.11214,4256.77,4890.41,9.6585,1.58404,4256.53,4890.15,9.5255
1200,2.26614,4467.23,5147.07,9.8389,1.69958,4466.99,5146.83,9.7059
1300,2.42013,4682.99,5409.03,10.0109,1.81511,4682.75,5408.80,9.8780
